Cleaned_Text,Any_Hate,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
cia agent provocateur operative riot new american civil war african american rehearsed ebonics transparent,False,False,False,False,False,False,False,False,False,False,False,False,False
someone shoot black idiot would make giggle inside,True,True,True,False,True,False,True,True,False,False,False,False,False
people sick man speaking truth mad trying justify young boy nothing shot killed smh devil disease earth glad sun burn ass extinction planet back half animal half devil cave beast,True,True,True,False,True,True,False,False,False,False,False,False,False
world changing im mad police id dam isi gon na come thats time kill faucks,True,True,True,True,True,False,True,False,False,False,False,True,False
cnn propaganda part people let hear ferguson,False,False,False,False,False,False,False,False,False,False,False,False,False
waste time talking idiot know im sayin believe want believe hell fact evidence loser,True,True,True,False,False,False,False,False,False,False,False,False,False
news fucktards puppet player paid liar,True,True,True,False,False,False,False,False,False,False,False,False,False
bassem right express freedom expression right amendment constitution dont think cnn competent,False,False,False,False,False,False,False,False,False,False,False,False,False
guy riot work orrrr let guess fuck day nothing,True,True,True,False,False,False,False,False,False,False,False,False,False
masri 100 right could say better,False,False,False,False,False,False,False,False,False,False,False,False,False
anyone tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense,False,False,False,False,False,False,False,False,False,False,False,False,False
racial profiling police intimidation robbed store got killed result fucking excuse man black people get arrested commit strong arm robbery black people get violent fear getting put like animal actually said worry warrant lol fucking piece human garbage,True,True,True,False,False,False,False,False,False,False,False,False,False
wrong mother fucker shoot apprehend,True,True,True,False,False,True,False,False,False,False,False,False,False
black white crime seems big topic u ferguson case came brag finnish cop used firearm 6 time last year 2 time towards human 2 time warn 2 time kill wounded animal 5 million ppl gun per caput,False,False,False,False,False,False,False,False,False,False,False,False,False
heading read protester take far,False,False,False,False,False,False,False,False,False,False,False,False,False
muslim man anything mind peace want stir dissonance trouble among american using racist accusation man goal,True,True,False,False,False,False,True,False,False,False,False,True,False
add another imbecile bunch reporter incompetent bastard,True,True,True,False,False,False,False,False,False,False,False,False,False
interviewer right guy show respect paramilitary police killing getting away ha,True,True,True,False,True,False,False,False,False,False,False,False,False
dumb people,True,True,True,False,False,False,False,False,False,False,False,False,False
bassem think walmart hiring holiday get job loser,True,True,True,False,False,False,False,False,False,False,False,False,False
teen face life prison pot brownie 90 year old man get arrested feeding poor police officer set free charge whatsoever killing teenager people see wrong,False,False,False,False,False,False,False,False,False,False,False,False,False
know sayin wow,False,False,False,False,False,False,False,False,False,False,False,False,False
yeah right 1 white shot black hell break lose black shot black protest maybe start protest black shotting black buy thier story,True,True,False,False,False,False,True,True,False,False,False,False,False
let steal convenience store let go punch cop face get shot 6 time let get black people white apologist run around street setting building fire fucking dirty gutter rat living welfare causing violence look rest black people live dirties ebola plague ridden continent lucky white country come cure dumb ass,True,True,False,False,False,False,True,True,False,False,False,False,False
dude fuck punk police,True,True,True,False,False,True,False,False,False,False,False,False,False
stupid arab police shoot apprehend lmao work attacked,True,True,False,False,False,False,True,True,False,False,False,False,False
plain n simple truth,False,False,False,False,False,False,False,False,False,False,False,False,False
lmfao dude taking like hear talking know saying smh,False,False,False,False,False,False,False,False,False,False,False,False,False
understand anger war answer,False,False,False,False,False,False,False,False,False,False,False,False,False
iz nuffinz,False,False,False,False,False,False,False,False,False,False,False,False,False
ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really chose pathetic man interview,True,True,True,False,True,False,True,True,False,False,False,False,False
motherfucker angry understand,True,True,True,False,False,True,False,False,False,False,False,False,False
let get straight present fact mass medium beginning 18 yr old legal aspect adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs two police every case similar us force criminal killed killing go court randomly selected jury view evidence hears witness pertain case radom jury reach unanimous verdict guilty im sorry protestors ca democracy,True,True,True,False,True,False,False,False,False,False,False,False,False
protestors work living get time,False,False,False,False,False,False,False,False,False,False,False,False,False
people would obey law like normal human being would never happen winner,False,False,False,False,False,False,False,False,False,False,False,False,False
indictment moving right along,False,False,False,False,False,False,False,False,False,False,False,False,False
act like animal get treated like animal,True,True,False,False,False,False,True,True,False,False,False,False,False
michael smerconish hack,False,False,False,False,False,False,False,False,False,False,False,False,False
sure totally looked factual evidence trial like special treatment hey knew going happen,True,True,True,False,True,False,False,False,False,False,False,False,False
tellin fact steal swisher sweet value life admit racist quit bunch faggott bitch,True,True,True,False,False,False,False,False,False,False,False,False,False
proof black victim statistically cop kill white black yet white see necessary save life cost place like ferguson lose mind statistically 93 murdered black killed black white consisting 3 murderer 4 race white enslaved black first 150 year european race started america later enslaved african began searching north africa establish trade good native 1520s late 1600s white enslaved first later table turned boy girl called statistically 50 murder u alone black despite making entire u population despite white make 63 u population make 46 murder white make 38 welfare recipient black making 39 seem extreme realize 39 black consists whith 38 white making 63 u meaning individual black person 5 time likely white use welfare,True,True,False,False,False,False,True,True,False,False,False,False,False
white man ca finish sentence america need wake truth murder,True,True,True,False,False,False,True,True,False,False,False,False,False
sure avoid getting guy taxi cab,False,False,False,False,False,False,False,False,False,False,False,False,False
fuck medium bassem right find something real investigate exaggerating want view money fuck selfish fuck people disgusting know bare nasty self,True,True,True,False,True,True,False,False,False,False,False,False,False
cnn youse guy going far tell bad going happen bad going benefit care much money ellen better like rest careful put put russia careful kid,False,False,False,False,False,False,False,False,False,False,False,False,False
guy need grow,False,False,False,False,False,False,False,False,False,False,False,False,False
shoot apprehend easier said done evidence presented michael brown still attackin darren shot twice people misconception like movie one gun shot anywhere body disable attacker false belief case people still attacking running shot time god sake 50 cent shot 9 time alive attacked 6 ft 3 200 somthing pound person back hard say goin shoot apprehend michael brown copnducted like gentleman would happened aggresive piece shit muslim shit head better filled rage answer anything progression come tolerance violence,True,True,False,False,False,False,True,True,False,False,False,True,False
brown daily killing white cop reality,False,False,False,False,False,False,False,False,False,False,False,False,False
guy hired idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
guy moron,True,True,True,False,False,False,False,False,False,False,False,False,False
cnn touch close idiot people watching comedy,True,True,True,False,False,False,False,False,False,False,False,False,False
bassem masri criminal thug psychopath credibility humanity need locked jail cell time bassem get intellectually dishonest butt community,True,True,True,False,False,True,False,False,False,False,False,False,False
cnn joke,True,True,True,False,False,False,False,False,False,False,False,False,False
wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allowed kill without consequence even rat cornered defend,True,True,True,False,True,False,False,False,False,False,False,False,False
want son death vain let burn bitch stupid fuck destroying livelihood peaceful protest fucking as,True,True,True,False,False,True,False,False,False,False,False,False,False
guy hero,False,False,False,False,False,False,False,False,False,False,False,False,False
say sound spitting arab expression,False,False,False,False,False,False,False,False,False,False,False,False,False
wow,False,False,False,False,False,False,False,False,False,False,False,False,False
think indecent unessacerry event one person shot brown stole something intirely police officer fault,False,False,False,False,False,False,False,False,False,False,False,False,False
genuine failure leadership president united state nice town ferguson declared state emergency put martial law federal troop stuffed town pushed everyone knew going another riot president want offend black community want anyone else get shot let burn baby burn seems real leader could way president sir failed reprehensibly accuse,True,True,True,False,True,False,False,False,False,False,False,False,False
anyone know irradiating commercial strawberry seed mine wont germinate,False,False,False,False,False,False,False,False,False,False,False,False,False
arab hate black people isi sympathizer want call community nonsense,True,True,False,False,False,False,True,True,False,False,False,False,False
ca life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reversed would issue,True,True,False,False,False,False,True,True,False,False,False,False,False
well done,False,False,False,False,False,False,False,False,False,False,False,False,False
old man way tried forever well worked look,False,False,False,False,False,False,False,False,False,False,False,False,False
u wat im sayin,False,False,False,False,False,False,False,False,False,False,False,False,False
without badge bitch half fuck police,True,True,True,False,False,False,False,False,False,False,False,False,False
arab piece shit acting like get harrassed parent store yet act like get treated like black people lol people steal store moron piece shit,True,True,True,False,False,True,True,True,False,False,False,False,False
people like guy make america shake head nawamsain fuck,False,False,False,False,False,False,False,False,False,False,False,False,False
police brutality affect everyone black issue made black issue people black tend stop listening end racial profiling police fuck everyone police care color policeman fuck look youtube notice brutality discriminate stop racial bullshit want cop finally held accountable powertripping action need realize playing whole black black black card make people black feel less sympathetic every race issue,True,True,True,False,True,True,False,False,False,False,False,False,False
christian rock,False,False,False,False,False,False,False,False,False,False,False,False,False
good cnn anchor ever seen,False,False,False,False,False,False,False,False,False,False,False,False,False
islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people,True,True,False,False,False,False,True,False,False,False,False,True,False
fuck cnn corrupt demon worshiping fool,True,True,True,False,False,False,False,False,False,False,False,False,False
guy dumbass claim policed hired thug took phone shot round without evidence back claim,True,True,True,False,False,False,False,False,False,False,False,False,False
mike brown father buy got caught video saying burn bitch reffering ferguson dude interviwing thug given air time,True,True,True,False,False,False,False,False,False,False,False,False,False
brown isused excuse loot take people shit destroy neighborhood haaaa typical ghetto bullshit ya ai even hood ya ghetto bitch collecting free rent govt fighting govt occupy wall street fagets nothing else go clean highway,True,True,False,False,False,False,True,True,False,False,False,False,False
wtf guy got mugged iphone 6 ferguson video hilarious,False,False,False,False,False,False,False,False,False,False,False,False,False
trayvon martin michael brown common real reason behind riot one dare speak zimmerman case common factor race monger like al sharpton cnn msnbc whipping black community see racism racism injustice injustice give year two promise another zimmerman michael brown style case bigger question similar case rather face real root cause many problem suffered black american poverty high crime high black black murder rate far easier turn blind eye point finger shout racism root cause black problem america racism root cause break black american family high number fatherless child growing single parent home government statistic reveal child born fatherless home likely drop school likely history unemployment high chance poverty likely serve time prison list go look fact 70 black child grow fatherless home compared 24 white child see number begin explain black poverty black crime high amongst black america 70 black mother welfare complied dysfunctional culture glorifies promiscuity drug dealer abuse woman power gun see problem beginning emerge reason death trayvon martin michael brown begin come clear black american 13 minority 54 dying probably 54 killing need said black culture violence financed welfare system conclusion like said another race based case sooner latter fact never end long race monger like sharpton cnn msnbc continue promote idea racism rather disintegration black american family another ferguson around corner,False,False,False,False,False,False,False,False,False,False,False,False,False
many shot disable one man officer felt threatened call backup many shot one man continue threaten another transcript witness evidence released seems question unanswered answered pray involved might find peace terrible encounter amen,False,False,False,False,False,False,False,False,False,False,False,False,False
thought waste skin catching desert 3300fps would make popular guy free people allowed party live bookend country rest libshits would justice know majority real american despise every way know every day continue exist ying must yang motherjumper,True,True,True,False,False,True,True,False,False,False,False,False,False
wow make cnn interviewer seem reasonable balanced,True,True,True,False,False,True,False,False,False,False,False,False,False
never argue idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
ratchet lol,False,False,False,False,False,False,False,False,False,False,False,False,False
stfu muslim piece shit cop fired ten round as better still let cut head pour pig blood throat willing bet dirty fckn islamic bastard set fire even black,True,True,True,True,True,False,True,False,False,False,False,True,False
made song addressing ferguson issue today please listen thank tha bigger picture soundcloud listen tha bigger picture kool np soundcloud http,False,False,False,False,False,False,False,False,False,False,False,False,False
michael smerconish little bitch like subtly try insult guy guy laugh really show low cnn stoop garbage hole cnn become piece as sucking work michael smerconish guess wonder home watch cnn crap news network,True,True,True,False,False,True,False,False,False,False,False,False,False
thanksgiven christmas owner business looted stole burned good reason none year come people nothing except serve one burned may god mercy would,False,False,False,False,False,False,False,False,False,False,False,False,False
grand jury amd processor much power justice system amd connection police department sayin honestly,False,False,False,False,False,False,False,False,False,False,False,False,False
protecting serving u people like michael brown guy deserved killed cry,True,True,True,False,True,False,False,False,False,False,False,False,False
cop shot white guy would riot since shot black guy everyone seems think black look evidence skin color everyone always throw race card crap like,False,False,False,False,False,False,False,False,False,False,False,False,False
find amusing protester claim fighting racism yet blind racism several report black people attacking white people couple day ago reported white man beaten death hammer black teen louis yeah clearly racial intent fucking hypocrite,True,True,True,False,True,False,True,True,False,False,False,False,False
excellent u wait speak get lost next tragedy travesty happening going since thee origin usa nøbody free thee illusion real thee struggle experiencing collision experiment psychological warfare attrition typing aware baiting allow create skelter,False,False,False,False,False,False,False,False,False,False,False,False,False
michael brown rob store assaulted store owner fought police officer darren wilson police window went officer gun shot killed brown shirt saying armed happens criminal activity regardless color skin linch mob mentality get way public pressure fact support brown activity day wonder brown wanted death suicide cop family could sue,True,True,True,False,True,False,False,False,False,False,False,False,False
fucking fuck ca even defend properly joke,True,True,True,False,False,True,False,False,False,False,False,False,False
wow think going buy bullet proof vest shit black like everybody tryin shoot,True,True,True,False,True,False,False,False,False,False,False,False,False
black officer shot white guy would fine black people racist,True,True,False,False,False,False,True,True,False,False,False,False,False
delusional moron anger justified mike indeed unjustly killed hand mike malicious person shooting justified rioting justified one know happened day riot taking place basis assumption,True,True,True,False,False,True,False,False,False,False,False,False,False
omg terrorist isi american arrest,True,True,False,False,False,False,True,True,False,False,False,False,False
keep letting real people get front camera truth told purest form,False,False,False,False,False,False,False,False,False,False,False,False,False
criminal kid get shot police almost everyday plus mike brown bad criminal record started fight,False,False,False,False,False,False,False,False,False,False,False,False,False
city full really really really dumb people ca try reason,True,True,True,False,False,False,False,False,False,False,False,False,False
county go back middle east county b,True,True,False,False,False,False,True,True,False,False,False,False,False
people get shot everyday come one thats getting attention,False,False,False,False,False,False,False,False,False,False,False,False,False
history mankind people color creed culture found way rise ash oppression self betterment self preservation except black please enlighten unknown phenomenon,True,True,False,False,False,False,True,True,False,False,False,False,False
fucking douche bag,True,True,True,False,False,True,False,False,False,False,False,False,False
cnn need hire man real american trouble,True,True,True,False,True,False,False,False,False,False,False,False,False
one feral hoodlum put rest u longer need fear thuggish behavior upset blame failed raise right provide proper supervision defective start either way sound like case quality control thank officer wilson job,True,True,False,False,False,False,True,True,False,False,False,False,False
u government killing population,True,True,True,False,True,False,False,False,False,False,False,False,False
fake cnn b,True,True,True,False,False,False,False,False,False,False,False,False,False
need get back basic savage riot protest use german shepard shoot animal,True,True,True,True,False,False,True,True,False,False,False,False,False
hell even interviewing guy idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
oh god fucking love arab guy wise word seriously someone open eye world see thing rare world today big fucking amen guy wake fuck america,True,True,True,False,False,True,False,False,False,False,False,False,False
smerconish sir journalist journalist say claim interview object searching 15mins fame part interview speak direction wanted anything trying defame person illegal definitively serve time go back school truly obvious handle word mouth care critical enough authority would wait ton paper show know indeed ran stopped hand air got shot multiple time doubt side happened witness say however investigative journalist go ask people opinion superior get chair go real reporting shame shame cnn hiring professional,True,True,True,False,True,False,False,False,False,False,False,False,False
arab rapping go ahead bro lol getto,True,True,False,False,False,False,True,True,False,False,False,False,False
dude got knocked phone stolen ferguson,False,False,False,False,False,False,False,False,False,False,False,False,False
bassem masri uneducated idiot listen word coming mouth sound like stupid little kid sorry please grow fuck learn law instead repeating freedom speech citizen go ahead bro listen somebody shut guy,True,True,True,False,False,True,False,False,False,False,False,False,False
white child deserve future ten million flooding white country every year decade mean white minority every country founded black country remain majority black asian country remain majority asian white country affected genocide international law call genocide call diversity diversity mean chasing every last white child codeword,True,True,False,False,False,False,True,True,False,False,False,False,False
bassem masri well said bro,False,False,False,False,False,False,False,False,False,False,False,False,False
guy idiot best lost already bozo,True,True,True,False,False,False,False,False,False,False,False,False,False
go back period big mouth moron,True,True,True,False,False,True,True,True,False,False,False,False,False
muslim like spit white people brought muslim nggrs still wait big plasma cheap tv looted shop,True,True,False,False,False,False,True,True,False,False,False,True,False
yep muslim bitch,True,True,False,False,False,False,True,False,False,False,False,True,False
masri unemployed,True,True,True,False,True,False,False,False,False,False,False,False,False
wait area majority african american make since majority people pulled searched arrested area would african american well,False,False,False,False,False,False,False,False,False,False,False,False,False
video liberal propaganda used divide people fuel chaos ferguson stay tuned trial fact deciding evil white people source problem mean straight watch trial fox news cnn msnbc,False,False,False,False,False,False,False,False,False,False,False,False,False
ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword hate player hate game innocent little child walking street got shot back blame parent must look individual case adult kind music listen kind video view role model environment affect enablers associate importantly accountable action unfortunately day chose wrong pathway fate rob store call shoplifting heck might well call borrowing without permission first crime probably many unrecorded caught negative action mike brown mb assault another human without consequence say playing big deal childish get real folk riot looting attack threat nothing mb culture feel entitled use excuse propaganda find excuse commit crime name justice peace hand shoot please culture need stop pant ground pant ground looking like fool pant ground hat turned sideways gold mouth looking like fool pant ground let say race lack justice justice naturally street usually end tragedy result immature respect thug believed could use size intimidate probably school know street real parent around would called mb childish childish behavior behavior felonious criminal frank would probably cost life elsewhere different time real parent would stated son wrong store clerk fact evidence show son assaulted officer posed threat going officer shot fired may son rest peace action condone consequence due choice action unconditionally love son however also forgive officer apologize store clerk hope family people move learn action live dictate consequence positive negative would also like support alternate method event happen using weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable say lastly officer racist shoot mb without rhyme reason fact targeted mb dj black decided gun mb back front even though surrendered peacefully hand raised would side mb support cause unfortunately evidence thus far support paragraph question 1 would still reaction officer female question 2 would still reaction officer american question 3 would still reaction mike brown gunned peer race question 4 would still reaction mike brown white question 5 would still end result death mike brown productive home work school running street people nothing world dangerous sincere ignorance conscientious stupidity martin luther king think safe say living dangerous time simple fact proving martin luther king quote unfortunately coming race supporting lost cause people cry wolf mj please repost,True,True,False,False,False,False,True,True,False,False,False,False,False
people say black play victim according comment fault elected officals racist white good thing going missouri racist white folk point finger take punk bitch power goin back racism deport everyone else,True,True,False,False,False,False,True,True,False,False,False,False,False
protest converted riot majority people wanted fooled politician play serious game common man take care everyone save humanity peace,False,False,False,False,False,False,False,False,False,False,False,False,False
worst testtube video ever inequality choice white flight via change demographic etc remaining resident say vote put nominee go city council meeting put grievance councilman etc besides supposedly era america race leader matter oh btw title asked really caused riot seems account answer lawbreaker,False,False,False,False,False,False,False,False,False,False,False,False,False
punk get blasted reason cop shoot someone else would,True,True,True,False,False,False,False,False,False,False,False,False,False
lot people entire medium missing huge crucial point micheal brown even stopped first place day happened officer said mike brown walking street day later robbed convenience store despite fact owner say store never robbed officer apparently fear life pd claim seriously injured altercation mike brown even though video showing officer perfectly fine standing mike body hour shooting also mike body 35 foot away officer mike apparently charged man police full shit ca see shit made either bigot fucking idiot,True,True,True,False,False,True,False,False,False,False,False,False,False
say black piece came bit stiff due repeated use african american,False,False,False,False,False,False,False,False,False,False,False,False,False
live louis scary,False,False,False,False,False,False,False,False,False,False,False,False,False
ferguson like american city prison resident feel mistreated discriminated subjected illegall search seizure advice move country vast confident find somewhere great nation find place happy successful,False,False,False,False,False,False,False,False,False,False,False,False,False
believe correct word caucasian white let correct every regard great report though love video,False,False,False,False,False,False,False,False,False,False,False,False,False
france military taught could use lethal weapon us superior lethal weapon u another defend using superior weapon allowed think noble french concept b,False,False,False,False,False,False,False,False,False,False,False,False,False
perhaps start teaching black law education important instead treating special snowflake,True,True,False,False,False,False,True,True,False,False,False,False,False
agree report certainly think event went ferguson need investigated statistic support targeting particular race number stop search certainly explained away fact population region particular race given greater opportunity someone stopped likely going race think analysis would need conducted make collation saying race factor saying statistic misleading need considered thoughtfully stating support statement,False,False,False,False,False,False,False,False,False,False,False,False,False
funny doctor push drug legal even tho prescription drug abused whereas minority get locked year marijuana known beneficial economy war drug started government still supply street day racial profiling stupid caucasian commit mass shooting see searched go mall movie theater school etc,False,False,False,False,False,False,False,False,False,False,False,False,False
implying ferguson black elected appointed official white mean majority people ferguson represented mostly black population would happen voted support white official median income lower mo u whole population mostly black statistic,False,False,False,False,False,False,False,False,False,False,False,False,False
ridiculous liberal tripe meant divide u along barrier even black refuse use word african american oppressed local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stats result large black community 68 black really need stop listening democrat preach win deck stacked oppressive lifestyle never rise current condition cling liberal excuse color skin overall presentation,False,False,False,False,False,False,False,False,False,False,False,False,False
someone say way black people behave wonder ferguson shitty place black people u fucking lazy saying countless example life grandmother got black house nurse bitch nothing day grandmother complained agency sent different woman black cleaned entire house 4 hour mom work hospital nurse black co worker constantly nothing lazy black people like one best friend black like like brother fuck expect get everything want ancestor slave well hitler killed ancestor see sagging pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill required hold position household income tie previous point skill lower income job dropout rate school need taken black people ferguson hold high paying job even graduate fucking high school 80 worse healthcare tied low income money better doctor inequality enforcement give one completely unfair however looking black officer frisk mostly black people well hmmmm interesting maybe,True,True,True,False,True,True,True,True,False,False,False,False,False
might wrong majority black community vote would make sense inequality city government,False,False,False,False,False,False,False,False,False,False,False,False,False
something wrong voice,False,False,False,False,False,False,False,False,False,False,False,False,False
people fuck america american fucking hate,True,True,True,False,False,True,False,False,False,False,False,False,False
bill cosby caused,False,False,False,False,False,False,False,False,False,False,False,False,False
u justice department audited ferguson police department found 180 count excessive use police force addition found 7 email containing discriminatory language department computer federal government pursuing criminal case ferguson police department wonder bob mcculloch try defend one,False,False,False,False,False,False,False,False,False,False,False,False,False
something wrong audio,False,False,False,False,False,False,False,False,False,False,False,False,False
flat racist say one race ca represent another equally majority black voted white people mean black voted vote best interest elected white official ca represent black voter put office,False,False,False,False,False,False,False,False,False,False,False,False,False
